Timestamp,Time_s,X,Y,Z,Acceleration_Magnitude,Step,Minute,,,,
07:17.7,0.0115,-0.37305,4.12995,17.11305,17.60829729,0,1,,,Minute,Sum of Step
07:17.9,0.1425,-0.079050004,-3.0330002,9.3030005,9.785252037,0,1,,,1,71
07:18.0,0.2949,2.052,-3.9139502,4.8199501,6.539237657,0,1,,,2,63
07:18.1,0.4092,0.091050006,6.3330002,8.9629507,10.97495635,0,1,,,3,53
07:18.2,0.5203,-2.8570502,8.0100002,14.00895,16.38821281,1,1,,,Grand Total,187
07:18.3,0.6307,0.42600003,-2.1780002,8.8630505,9.136674727,0,1,,,,
07:18.5,0.7413,3.9340501,-3.8230503,5.9839501,8.117889047,0,1,,,,
07:18.6,0.8508,-1.0849501,2.8960502,7.5169501,8.128269329,0,1,,,Avg step per Min,
07:18.7,0.9841,-1.8970501,8.1559505,21.717001,23.27544758,1,1,,,62.35016788,
07:18.8,1.1142,4.6290002,-4.7640004,7.9020004,10.32303022,0,1,,,,
07:19.0,1.2391,6.1020002,-4.1100001,4.2139502,8.478436386,0,1,,,Total Step,
07:19.1,1.3505,3.7140002,-1.1410501,7.8090005,8.722171841,0,1,,,187,
07:19.2,1.4627,1.4440501,-1.8400501,13.341001,13.54449603,0,1,,,,
07:19.3,1.5735,-0.90300006,-1.43805,14.923951,15.02024335,1,1,,,,
07:19.4,1.6844,2.4349501,-0.48405004,9.3679504,9.691325045,0,1,,,,
07:19.5,1.7949,1.7569501,1.7590501,8.0760002,8.450024269,0,1,,,,
07:19.6,1.9058,4.8829503,-3.4230001,11.758051,13.18377399,1,1,,,,
07:19.7,2.023,6.5590501,0.37095001,7.4160004,9.907361105,0,1,,,,
07:19.9,2.1376,2.2579501,0.078000002,13.99005,14.17130628,1,1,,,,
07:20.0,2.2523,0.067050003,0.69105005,8.3070002,8.335964143,0,1,,,,
07:20.1,2.3637,2.085,0.046950001,7.4520001,7.738328941,0,1,,,,
07:20.2,2.4905,4.7509503,-1.3990501,15.247951,16.03212025,1,1,,,,
07:20.3,2.6037,3.7549503,0.94395006,4.7290502,6.111841725,0,1,,,,
07:20.4,2.7142,7.9459505,1.4500501,7.3369503,10.91199406,0,1,,,,
07:20.5,2.8245,6.9259505,-2.2260001,12.859951,14.77505352,1,1,,,,
07:20.7,2.953,0.98805004,-0.22995001,10.659,10.70716587,0,1,,,,
07:20.8,3.0671,1.07895,0.80595005,8.6760006,8.779901765,0,1,,,,
07:20.9,3.1838,-0.54300004,0.99000007,5.5330501,5.647087089,0,1,,,,
07:21.0,3.2942,0.66000003,3.6580501,10.651951,11.28188773,0,1,,,,
07:21.1,3.4056,3.8580003,1.5700501,15.319051,15.87521802,1,1,,,,
07:21.2,3.5163,3.7930503,1.8880501,4.4719501,6.1603816,0,1,,,,
07:21.3,3.6267,5.29005,2.8770001,7.7920504,9.84773111,0,1,,,,
07:21.5,3.746,2.5690501,0.57705003,15.621,15.84135872,1,1,,,,
07:21.6,3.8752,-1.2379501,1.16505,8.8960505,9.057018077,0,1,,,,
07:21.7,4.0265,-0.17505001,0.64095002,6.7290001,6.761723285,0,1,,,,
07:21.9,4.1357,-1.4320501,4.3530002,9.9670506,10.97002625,0,1,,,,
07:22.0,4.2462,4.3270502,1.6320001,14.332951,15.06055351,1,1,,,,
07:22.1,4.4285,3.2970002,1.35405,7.4089503,8.221691205,0,1,,,,
07:22.3,4.5388,5.1529503,3.2650502,7.5499501,9.706451263,0,1,,,,
07:22.4,4.6641,1.70895,0.92100006,12.273001,12.42559072,1,1,,,,
07:22.6,4.8377,-0.33495003,2.6500502,7.9960504,8.430408032,0,1,,,,
07:22.7,4.9484,-0.50700003,0.85095006,10.266001,10.3136774,0,1,,,,
07:22.8,5.0594,0.73695004,1.8210001,9.7060509,9.902856194,0,1,,,,
07:23.0,5.2396,-0.049950004,2.5350001,9.9469509,10.26501596,0,1,,,,
07:23.1,5.3511,-0.70395005,3.7270501,8.8579502,9.635856468,0,1,,,,
07:23.2,5.4633,-1.1040001,5.2960501,11.122951,12.36879145,1,1,,,,
07:23.3,5.596,0.28005001,3.7710001,8.4390001,9.247464109,0,1,,,,
07:23.4,5.7273,0.63195002,3.2820001,9.21,9.797703072,0,1,,,,
07:23.6,5.8438,1.9750501,2.9610002,10.599001,11.18066041,0,1,,,,
07:23.7,5.9547,0.47400004,3.8880002,8.9029503,9.726445684,0,1,,,,
07:23.8,6.0682,-2.05005,4.4820004,9.95895,11.11178283,0,1,,,,
07:23.9,6.1782,-1.1179501,6.8550005,8.592,11.04822648,0,1,,,,
07:24.0,6.2883,-3.7620001,2.1679502,10.798051,11.63832283,0,1,,,,
07:24.2,6.4762,-4.0800004,2.4409502,6.0649505,7.706378249,0,1,,,,
07:24.3,6.5868,-0.52695,1.9579501,8.7640505,8.99554479,0,1,,,,
07:24.4,6.6969,3.4290001,0.84105003,9.4060507,10.04685008,0,1,,,,
07:24.6,6.8776,8.4730501,0.67905003,6.6229501,10.77576702,0,1,,,,
07:24.7,6.9883,5.9509501,1.0000501,6.1969504,8.64963014,0,1,,,,
07:24.8,7.0986,4.1070004,2.52795,9.7750502,10.89998119,0,1,,,,
07:25.0,7.2899,6.3319502,3.1840501,15.399001,16.95172558,1,1,,,,
07:25.1,7.3988,7.0050001,2.0050502,8.4630003,11.16748077,0,1,,,,
07:25.2,7.525,5.9989505,-0.30000001,2.5009501,6.506316816,0,1,,,,
07:25.3,7.6334,5.6130004,-2.9850001,0.99705005,6.4350686,0,1,,,,
07:25.5,7.744,7.4170504,-8.3929501,-1.8160501,11.34690645,0,1,,,,
07:25.6,7.8843,12.412951,-9.8700008,0.070050001,15.85885164,0,1,,,,
07:25.7,7.9988,14.638051,-7.7130003,2.5039501,16.73417691,1,1,,,,
07:25.8,8.1079,13.102051,-5.2770004,4.3410001,14.77683171,0,1,,,,
07:25.9,8.2181,11.17695,-3.2890501,5.1739502,12.74801249,0,1,,,,
